url,name,slug,postal_code,condo_fee_min_brl,iptu_min_brl,area_min_m2,area_max_m2,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,parking_spots_min,parking_spots_max,construction_year
https://www.quintoandar.com.br/condominio/rua-albatroz-456-ingleses-do-rio-vermelho-florianopolis-9dzqsv7x4d,,rua-albatroz-456-ingleses-do-rio-vermelho-florianopolis,88058-240,,,60,72,2,2,3,3,1,1,
https://www.quintoandar.com.br/condominio/sc-405-2785-rio-tavares-florianopolis-d71sx62r9d,,sc-405-2785-rio-tavares-florianopolis,88063-700,,,25,60,1,1,1,1,,,
https://www.quintoandar.com.br/condominio/vivendas-de-sao-francisco-saco-dos-limoes-florianopolis-9d37smxjlp,Vivendas de São Francisco,vivendas-de-sao-francisco-saco-dos-limoes-florianopolis,88045-401,550,109,58,70,2,2,1,2,1,1,
https://www.quintoandar.com.br/condominio/rua-aroeira-da-praia-46-rio-tavares-florianopolis-rp0gsyrg5k,,rua-aroeira-da-praia-46-rio-tavares-florianopolis,88048-644,950,112,70,90,2,3,2,3,2,2,
https://www.quintoandar.com.br/condominio/rua-pedro-bunn-1516-cidade-jardim-de-florianopolis-sao-jose-jpqmsle6ld,,rua-pedro-bunn-1516-cidade-jardim-de-florianopolis-sao-jose,88111-120,530,89,63,66,2,2,2,2,1,2,
https://www.quintoandar.com.br/condominio/servidao-nossa-senhora-aparecida-303-ingleses-do-rio-vermelho-florianopolis-3keys1re2p,,servidao-nossa-senhora-aparecida-303-ingleses-do-rio-vermelho-florianopolis,88058-089,,,-1,-1,-1,-1,-1,-1,-1,-1,
https://www.quintoandar.com.br/condominio/residencial-villa-celimontana-agronomica-florianopolis-rdyosneork,Residencial Villa Celimontana,residencial-villa-celimontana-agronomica-florianopolis,88025-326,734,1,79,258,2,3,1,4,1,3,
https://www.quintoandar.com.br/condominio/rua-doutor-antonio-prudente-de-morais-195-canasvieiras-florianopolis-9pm8sn32gk,,rua-doutor-antonio-prudente-de-morais-195-canasvieiras-florianopolis,88054-220,,,55,55,1,2,1,2,1,1,
https://www.quintoandar.com.br/condominio/residencial-golfinhos-ingleses-do-rio-vermelho-florianopolis-p6js8me2zk,Residencial Golfinhos,residencial-golfinhos-ingleses-do-rio-vermelho-florianopolis,88058-660,560,120,12,74,2,2,1,2,1,1,
https://www.quintoandar.com.br/condominio/solar-di-petra-ingleses-do-rio-vermelho-florianopolis-kg3s846w2p,Solar Di Petra,solar-di-petra-ingleses-do-rio-vermelho-florianopolis,88058-690,500,,50,147,1,3,2,2,1,1,
https://www.quintoandar.com.br/condominio/estrada-dario-manoel-cardoso-2221-ingleses-do-rio-vermelho-florianopolis-ed5zsm6r8d,,estrada-dario-manoel-cardoso-2221-ingleses-do-rio-vermelho-florianopolis,88058-400,,,-1,-1,-1,-1,-1,-1,-1,-1,
https://www.quintoandar.com.br/condominio/servidao-ipanema-59-ingleses-norte-florianopolis-drrsn1e7rd,,servidao-ipanema-59-ingleses-norte-florianopolis,88058-470,50,,60,68,2,2,1,2,1,1,2015
https://www.quintoandar.com.br/condominio/porto-caravelas-canasvieiras-florianopolis-8kojsvrw9d,Porto Caravelas,porto-caravelas-canasvieiras-florianopolis,88054-605,300,5,50,80,1,2,1,1,,2,
https://www.quintoandar.com.br/condominio/barriga-verde-estreito-florianopolis-jdjrsg9mvk,Barriga Verde,barriga-verde-estreito-florianopolis,88075-060,300,,43,65,2,3,1,1,,2,
https://www.quintoandar.com.br/condominio/ana-beatriz-jardim-cidade-de-florianopolis-sao-jose-rp0gsyw7xk,Ana Beatriz,ana-beatriz-jardim-cidade-de-florianopolis-sao-jose,88111-225,315,37,63,65,1,2,1,2,1,2,2017
https://www.quintoandar.com.br/condominio/urban-centro-florianopolis-wk27sljw2p,Urban,urban-centro-florianopolis,88015-430,,,70,180,2,4,1,3,,4,
https://www.quintoandar.com.br/condominio/edificio-caravaggio-residence-trindade-florianopolis-9d37s05xmp,Edifício Caravaggio Residence,edificio-caravaggio-residence-trindade-florianopolis,88036-270,500,160,70,190,2,3,2,3,1,2,
https://www.quintoandar.com.br/condominio/rua-doutor-percy-joao-de-borba-37-trindade-florianopolis-jdjrs0zx9k,,rua-doutor-percy-joao-de-borba-37-trindade-florianopolis,88036-200,,,-1,-1,-1,-1,-1,-1,-1,-1,
https://www.quintoandar.com.br/condominio/servidao-caminho-das-orquideas-12-sao-joao-do-rio-vermelho-florianopolis-pxnsov40od,,servidao-caminho-das-orquideas-12-sao-joao-do-rio-vermelho-florianopolis,88060-265,,,-1,-1,-1,-1,-1,-1,-1,-1,
https://www.quintoandar.com.br/condominio/vale-verde-itacorubi-florianopolis-3keyseeg3p,Vale Verde,vale-verde-itacorubi-florianopolis,88034-001,260,29,28,65,1,2,1,1,,2,2002
https://www.quintoandar.com.br/condominio/rua-tobias-barreto-161-balneario-florianopolis-djrsv1q50k,,rua-tobias-barreto-161-balneario-florianopolis,88075-210,350,,19,61,1,1,1,1,1,1,
https://www.quintoandar.com.br/condominio/rua-acary-margarida-118-canasvieiras-florianopolis-3keysq5y2p,,rua-acary-margarida-118-canasvieiras-florianopolis,88054-400,,,50,50,2,2,1,1,1,1,
https://www.quintoandar.com.br/condominio/travessa-ibiza-190-morro-das-pedras-florianopolis-d71sx6rz4d,,travessa-ibiza-190-morro-das-pedras-florianopolis,88066-022,150,,43,53,1,1,1,1,1,1,
https://www.quintoandar.com.br/condominio/rua-artimimo-nostrani-294-ribeirao-da-ilha-florianopolis-vk87s1v46p,,rua-artimimo-nostrani-294-ribeirao-da-ilha-florianopolis,88064-031,,,53,53,2,2,1,1,1,1,
https://www.quintoandar.com.br/condominio/rua-delminda-da-cunha-68-saco-dos-limoes-florianopolis-drrsnzje9d,,rua-delminda-da-cunha-68-saco-dos-limoes-florianopolis,88045-460,,,70,75,1,1,1,1,1,1,
https://www.quintoandar.com.br/condominio/metropolitan-home-boutique-agronomica-florianopolis-1d47s8ml0d,Metropolitan Home Boutique,metropolitan-home-boutique-agronomica-florianopolis,88025-000,741,145,40,183,1,2,1,2,1,2,
https://www.quintoandar.com.br/condominio/forest-park-coqueiros-florianopolis-d37s54o50p,Forest Park,forest-park-coqueiros-florianopolis,88080-150,700,141,127,128,3,4,2,3,1,3,1999
https://www.quintoandar.com.br/condominio/espaco-17-santo-antonio-de-lisboa-florianopolis-jpqmsooewd,Espaço 17,espaco-17-santo-antonio-de-lisboa-florianopolis,88050-501,280,59,72,76,2,2,1,2,1,1,
https://www.quintoandar.com.br/condominio/everest-park-centro-florianopolis-d37s5m1vep,Everest Park,everest-park-centro-florianopolis,88015-640,640,82,75,202,2,3,1,3,,2,2002
