url,name,address,neighborhood,latitude,longitude,amenities
https://www.quintoandar.com.br/condominio/recanto-das-gaivotas-ingleses-do-rio-vermelho-florianopolis-6knzs38eqk,Condomínio Recanto das Gaivotas,"Rua Martinho de Haro, 901",Ingleses,-27.428691864013672,-48.407474517822266,Elevador; Gás encanado; Corrimão; Vaga de garagem acessível; Espaço gourmet na área comum
https://www.quintoandar.com.br/condominio/malaga-canasvieiras-florianopolis-9dzqs3ym2d,Condomínio Malaga,"Rua Antônio Heil, 545",Canasvieiras,-27.427391052246094,-48.450138092041016,Vaga de garagem acessível; Gás encanado; Corrimão
https://www.quintoandar.com.br/condominio/rodovia-jornalista-mauricio-sirotski-sobrinho-5960-jurere-florianopolis-kg3s83oyjp,"Condomínio em Rodovia Jornalista Maurício Sirotski Sobrinho, 5960","Rodovia Jornalista Maurício Sirotski Sobrinho, 5960",Jurerê,-27.44103240966797,-48.4863395690918,Rampas de acesso; Churrasqueira; Corrimão; Elevador; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/rua-maria-honorata-dos-santos-168-ingleses-norte-florianopolis-jpqmsro38d,"Condomínio em Rua Maria Honorata Dos Santos, 168","Rua Maria Honorata Dos Santos, 168",Ingleses,-27.441556930541992,-48.39875411987305,Espaço gourmet na área comum; Vaga de garagem acessível; Corrimão; Gás encanado; Churrasqueira
https://www.quintoandar.com.br/condominio/servidao-joao-batista-pires-1013-campeche-florianopolis-9p6jsno96k,"Condomínio em Servidão João Batista Pires, 1013","Servidão João Batista Pires, 1013",Campeche,-27.69541358947754,-48.49348068237305,Espaço gourmet na área comum; Churrasqueira; Lavanderia no prédio
https://www.quintoandar.com.br/condominio/rua-professor-anacleto-damiani-192-centro-florianopolis-k99s1845xk,"Condomínio em Rua Professor Anacleto Damiani, 192","Rua Professor Anacleto Damiani, 192",Centro,-27.590801239013672,-48.541114807128906,Vaga de garagem acessível; Churrasqueira
https://www.quintoandar.com.br/condominio/travessa-jataiba-33-armacao-florianopolis-knzsy1n25k,"Condomínio em Travessa Jataíba, 33","Travessa Jataíba, 33",Campeche,-27.704875946044922,-48.497989654541016,Vaga de garagem acessível; Área verde; Churrasqueira; Piscina; Lavanderia no prédio
https://www.quintoandar.com.br/condominio/palladium-residence-jardim-cidade-de-florianopolis-sao-jose-ek99s2n60k,Condomínio Palladium Residence,"Rua Célio Veiga, 255",Cidade Jardim de Florianópolis,-27.56352424621582,-48.61680603027344,Academia; Salão de festas; Elevador; Playground; Gás encanado
https://www.quintoandar.com.br/condominio/rua-manoel-pedro-vieira-500-morro-das-pedras-florianopolis-drrsnqm56d,"Condomínio em Rua Manoel Pedro Vieira, 500","Rua Manoel Pedro Vieira, 500",Morro das Pedras,-27.71397590637207,-48.503360748291016,Salão de festas; Academia; Elevador; Churrasqueira; Brinquedoteca; Piscina; Playground; Vaga de garagem acessível; Portaria 24h
https://www.quintoandar.com.br/condominio/edificio-frankfurt-trindade-florianopolis-9p18s6ozxk,Edifício Frankfurt,"Rua Professor Milton Roque Ramos Krieger, 159",Trindade,-27.58277702331543,-48.524452209472656,Elevador; Espaço gourmet na área comum; Vaga de garagem acessível; Lavanderia no prédio; Corrimão; Gás encanado; Salão de festas; Churrasqueira
